frame,time,temp,a0,temp_pres,pressure,altitude,humidity,temp_hum
336,207685,88.13,1023,22.60,99474,155.85,30.00,23.00
337,208308,88.13,1023,22.60,99479,155.43,30.00,23.00
338,208922,88.50,1023,22.60,99474,155.18,30.00,23.00
339,209537,88.50,1022,22.60,99471,155.35,30.00,23.00
340,210155,88.94,1023,22.60,99471,155.77,32.30,23.10
341,210769,88.94,1023,22.60,99472,155.69,32.30,23.10
342,211384,89.31,1023,22.60,99471,155.35,32.30,23.10
343,211999,89.31,1022,22.60,99470,155.35,32.30,23.10
344,212618,89.69,1023,22.60,99473,155.26,31.90,23.10
345,213232,89.69,1023,22.60,99468,155.43,31.90,23.10
346,213855,90.19,1023,22.60,99473,156.36,31.90,23.10
347,214469,90.19,1023,22.60,99470,156.02,31.90,23.10
348,215101,90.63,1022,22.60,99468,156.19,31.50,23.10
349,215715,90.63,1022,22.60,99468,155.60,31.50,23.10
350,216342,91.19,1022,22.60,99467,155.94,31.50,23.10
351,216956,91.19,1023,22.60,99475,155.35,31.50,23.10
352,217574,91.69,1023,22.60,99473,155.77,31.20,23.20
353,218189,91.69,1023,22.60,99468,155.77,31.20,23.20
354,218804,92.25,1023,22.70,99470,155.43,31.20,23.20
355,219418,92.25,1023,22.60,99474,155.77,31.20,23.20
356,220045,92.75,1023,22.60,99468,156.02,30.80,23.10
357,220659,92.75,1023,22.70,99465,155.60,30.80,23.10
358,221274,93.31,1023,22.70,99468,155.77,30.80,23.10
359,221888,93.31,1023,22.70,99464,155.60,30.80,23.10
360,222507,93.81,1022,22.70,99470,155.77,30.60,23.20
361,223121,93.81,1023,22.70,99469,155.43,30.60,23.20
362,223736,94.25,1023,22.70,99470,155.09,30.60,23.20
363,224351,94.25,1023,22.70,99480,155.69,30.60,23.20
364,224968,94.75,1022,22.70,99472,155.43,30.40,23.20
365,225592,94.75,1022,22.70,99472,155.01,30.40,23.20
366,226206,95.19,1023,22.70,99472,155.94,30.40,23.20
367,226821,95.19,1023,22.70,99478,155.18,30.40,23.20
368,227439,95.69,1023,22.70,99468,155.52,30.30,23.20
369,228054,95.69,1023,22.70,99464,155.69,30.30,23.20
370,228669,96.13,1023,22.70,99472,155.26,30.30,23.20
371,229283,96.13,1022,22.70,99473,155.77,30.30,23.20
372,229903,96.50,1023,22.70,99468,155.35,30.60,23.30
373,230517,96.50,1023,22.70,99475,155.09,30.60,23.30
374,231132,96.81,1023,22.70,99475,155.35,30.60,23.30
375,231755,96.81,1023,22.70,99473,155.26,30.60,23.30
376,232373,97.13,1023,22.70,99471,155.60,30.50,23.30
377,232987,97.13,1023,22.70,99475,155.60,30.50,23.30
